Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
10548X0010/F;VALENTINE - Puits communal;QZ;Valentine;;Alluvions de la Garonne amont, de la Neste et du Salat;
06861X0004/HY;CHASSENEUIL-SUR-BONNIEURE - Font St Aubin;QZ;Chasseneuil sur Bonnieure;;Calcaires du karst de la Rochefoucauld BV Charente;
05140000;L'Agout à St-Agnan;STQ;Bez;l'Agout;L'Agout du lac de la Raviège au lieu-dit la Fontaine Douce;
05155600;La Save à Espaon;STQ;Espaon;La Save;La Save du confluent de la Bernesse au confluent de l'Aussoue;
05053010;Le Maumont Blanc à Ussac;STQ;Ussac;Le Maumont Blanc;Le Maumont Blanc du confluent du Chauvignac au confluent de la Corrèze;
S4335003;Etang du Turc;STQL;Ondres;;;
05144300;Le Ruisseau de Coudols à Ayssenes;STQ;Ayssènes;Ruisseau de Coudols;Le Coudols de sa source au confluent du Tarn;
05015100;Le Charraud à St-Michel;STQ;Saint Michel;La Charreau;La Charreau;
05029820;Le Ruisseau de Pas de Canon au niveau de La Clotte;STQ;Clotte;Ruisseau de Pas de Canon;Ruisseau de Pas de Canon;
06365X0016/F1;CHIZE - Pré de la Rivière F1;QZ;Chizé;;Calcaires du jurassique supérieur du BV Boutonne secteur hydro r6;
05068945;La Santoire en aval de Dienne;STQ;Dienne;La Santoire;La Santoire du confluent du Drils (inclus) au confluent de la Rhue;
10508X0004/ERH;ARETTE - Source Dorbé -;QZ;Arette;;Terrains plissés du BV des gaves secteurs hydro q4, q5, q6, q7;
05180295;Le Nert en aval de Riverenert;STQ;Encourtiech;Le Nert;Le Nert;
05004400;Le Vau au niveau de Blanzay sur Boutonne;STQ;Blanzay sur Boutonne;Le Vau;Le Vau;
05068915;La Petite Rhue en aval de Cheylades;STQ;Cheylade;La Petite Rhue;La Petite Rhue de sa source au confluent de la Véronne;
05217800;Le Gave d'Estaing à La Badette;STQ;Bun;Gave d'Estaing;Le Gave d'Estaing du confluent du Bergouey (inclus) au confluent du Gave d'Azun;
P2035003;Lac de Tolerme;STQL;Gorses;;;
09567X0300/F;ONDES - Château d'eau;QZ;Ondes;;;
05199700;La Nive à Ascarat;STQ;Ascarat;La Nive;La Nive du confluent de la Nive d'Arnéguy au confluent de la Nive des Aldudes;
05035050;Le Manet à Champs-Romain;STQ;Champs Romain;Le Manet;Le Manet;
05184710;La Berle au niveau de St Julien Beychevelle;STQ;Saint Julien Beychevelle;La Berle;La Berle;
08557X0025/F;ST-VITE - Lapoujade;QZ;Saint Vite;;Alluvions du Lot;
09768X0040/F2;SAINT-LON-LES-MINES - Larribère (captif);QZ;Saint Lon les Mines;;Calcaires de la base du crétacé supérieur captif du sud du bassin aquitain;
05234027;La Chella à Chelle Debat;STQ;Chelle Debat;La Chella;La Chella;
05176160;Le Pujol au niveau du Mas d'Azil;STQ;Mas d'Azil;Le Pujol;Le Pujol de sa source au confluent de l'Arize;
09018X0007/HY;BARBASTE - Source de Lagrangette;QZ;Barbaste;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
S3025003;Etang de Cazaux-Sanguinet;STQL;Sanguinet;;Étang de Cazaux-Sanguinet;
08301X0002/F;FLAUGEAC - Flaugeac;QZ;Rouffignac de Sigoulès;;Sables, graviers, galets et calcaires de l'éocène nord AG;
10035X0012/F5;AUTERRIVE -F5;QZ;Auterrive;;Alluvions du gave d'Oloron et du Saison;
05089080;Le Vers à Saint-Martin-de-Vers;STQ;Pechs du Vers;Le Vers;Le Vers de sa source au confluent du Lot;
05217820;Le Gave d'Azun à Arrens Marsous;STQ;Arrens Marsous;Gave d'Azun;Le Gave d'Azun du confluent du Masseys (inclus) au confluent du Gave de Pau;
05122000;Le Cérou à Milhars;STQ;Milhars;Le Cérou;Le Cérou du confluent du Céroc (inclus) au confluent de l'Aveyron;
05068370;Le Doustre en aval d'Egletons;STQ;Rosiers d'Egletons;Le Doustre;Le Doustre de sa source au barrage de la Valette;
05143120;Le Liamou au niveau de Belmont sur Rance;STQ;Belmont sur Rance;Le Liamou;Le Liamou de sa source au confluent du Rance;
05050010;Le Turançon à Valojoulx;STQ;Valojoulx;Le Turançon;Le Turançon;
05169000;Le Grand Hers à Ste-Colombe;STQ;Sainte Colombe sur l'Hers;Le Grand Hers;L'Hers vif du confluent du Benaix au confluent du Blau;
05064120;La Jordanne au Pont du Bousquet à Arpajon sur Cère;STQ;Arpajon sur Cère;La Jordanne;La Jordanne du confluent du Pouget (inclus) au confluent de la Cère;
05125230;Le Liort au niveau de Pradinas;STQ;Pradinas;Le Liort;Le Liort;
05033544;La Galardie à St-Sulpice-de-Roumagnac;STQ;Saint Sulpice de Roumagnac;La Gilardie;;
05077350;Le Ruisseau de Barthos au niveau de Cudos;STQ;Cudos;Ruisseau de Barthos;La Labarthe (Barthos) de sa source au confluent du Ciron;
09562X0016/F;FINHAN -station de pompage;QZ;Finhan;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
07076X0038/F;SAINT-LEGER - Le Rivaud;QZ;Saint Léger;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05111550;Le Ruisseau de Saint-Martin au niveau de St Hilaire de Lusignan;STQ;Saint Hilaire de Lusignan;Ruisseau de Saint-Martin;Ruisseau de Saint-Martin;
P18-4003;Barrage de Saint-Etienne-Cantalès;STQL;Rouget Pers;;Retenue de Saint-Etienne-Cantalès;
05068180;L'Aspre au niveau de Fontanges;STQ;Fontanges;l'Aspre;L'Aspre;
05142900;La Malagousse à Curvalle;STQ;Curvalle;Ruisseau de Malagousse;Ruisseau de Malagousse;
05176050;Le Ruisseau de Lazaou au niveau de Goutevernisse;STQ;Goutevernisse;Ruisseau de Lazaou;L'Azau (Lazaou) de sa source au confluent de l'Arize;
05111300;La Grande Baïse à Mirande;STQ;Mirande;La Baise;La Baïse du confluent de la Baïsole au confluent de l'Auloue;
08101X0071/S3;GIRAC - Thezels (S3-11);QZ;Girac;;Alluvions de la Dordogne;
05035235;La Dronne à St-Saud-Lacoussière (la Maque);STQ;Saint Saud Lacoussière;La Dronne;La Dronne de sa source au confluent du Manet (inclus);
05022400;L'Argent-Or à Poursac;STQ;Poursac;l'Argent-Or;L'Argent-Or du confluent de l'Or au confluent de la Charente;
05075900;L'Euille à Laroque;STQ;Laroque;Ruisseau de l'Euille;L'Euille de sa source au confluent de la Garonne;
09256X0015/F2;Uchacq - Forage Barasson (M.Batby) Q23;QZ;Uchacq et Parentis;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
09101X0281/FPROFO;HURES-LA-PARADE - Les Douzes;QZ;Hures la Parade;;Calcaires des grands Causses BV Tarn;
05133300;Le Dadou à Rayssac;STQ;Paulinet;Le Dadou;Le Dadou de sa source à la retenue de Rassisse;
05002600;La Boutonne en aval de Tonnay Boutonne;STQ;Tonnay Boutonne;La Boutonne;La Boutonne du confluent de la Nie au confluent de la Charente;
05097510;Le Babory en aval d'Andelat;STQ;Andelat;Le Babory;Le Babory;
05229148;Le Petit Midour au niveau de Coulome-Mondebat;STQ;Saint Pierre d'Aubézies;Le Petit Midour;Le Petit Midour;
08522X0024/F2;SAINT MACAIRE;QZ;Saint Macaire;;Sables, graviers, galets et calcaires de l'éocène nord AG;
05152000;La Garonne à St-Aignan;STQ;Castelsarrasin;La Garonne;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;
05023050;Le Lien à Condac;STQ;Condac;La Péruse;La Péruse de sa source au confluent de la Charente;
05092070;Le Lot à Calvignac;STQ;Larnagol;Le Lot;Le Lot du confluent de la Diège au confluent du Célé;
05145280;Le Nuéjouls à Fayet;STQ;Fayet;La Nuéjouls;Le Nuéjouls de sa source au confluent du Dourdou;
05105950;Le Ruisseau de la Nevère à Cassaigne;STQ;Cassaigne;Ruisseau de la Nevère;Ruisseau de la Nevère;
05221600;Le Luy de France à Barinque;STQ;Barinque;Le Luy;Le Luy de France de sa source au confluent du Luy de Béarn;
05148020;Le trévezel à Treves;STQ;Trèves;Le Trèvezel;Le Trèvezel du confluent du Bonheur au confluent de la Dourbie;
05234015;L'Arros à Ozon;STQ;Ozon;l'Arros;L'Arros du confluent du laca (inclus) au confluent du Lurus;
05134500;L'Aiguebelle en amont d'Arfons;STQ;Arfons;Ruisseau de Rieu Grand;;
08804X0001/HY;CAHORS - Les Chartreux S61;QZ;Cahors;;Calcaires et marnes du jurassique sup du BV du Lot secteur hydro o8;
05151150;La Mimente à Cassagnas;STQ;Cassagnas;La Mimente;La Mimente de sa source au confluent du Tarnon;
05009000;La Seugne à La Vallade;STQ;Champagnac;La Seugne;La Seugne du confluent du Pharaon au confluent de la Charente;
08558X0208/HY;LENCLIO (ST.POMPAGE);QZ;Mauroux;;Calcaires et marnes du jurassique sup du BV du Lot secteur hydro o8;
05228000;L'Estampon à Roquefort;STQ;Roquefort;l'Estampon;L'Estampon du confluent du Lange (inclus) au confluent de la Douze;
05236870;Le petit Isaka à St Jean de Luz;STQ;Saint Jean de Luz;Ruisseau Isaka;;
05152550;Le Sarrampion au niveau de Maubec;STQ;Maubec;Le Sarrampion;Le Sarrampion de sa source au confluent de la Gimone;
05161900;La Garonne à Blagnac;STQ;Toulouse;La Garonne;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;
05006800;Le Canal de L'Unima à L'Houmée;STQ;Vallée;Canal du Freussin à la Charente;Canal de l'UNIMA (du Moussard);
05068140;La Bertrande au niveau de St Martin Cantales;STQ;Saint Martin Cantalès;La Bertrande;La Bertrande de sa source au barrage d'Enchanet;
10573X0153/F;PAMIERS - La Prévoste (puits);QZ;Pamiers;;Alluvions de l'Ariège et affluents;
05215020;Le Lagoin;STQ;Bénéjacq;Le Lagoin;Le Lagoin de sa source au confluent du Gave de Pau;
06597X0011/P;POURSAY-GARNAUD - Bois de Vervant F2;QZ;Poursay Garnaud;;Calcaires du jurassique supérieur du BV Boutonne secteur hydro r6;
05106850;La Gélise en amont du Rimbez;STQ;Castelnau d'Auzan Labarrère;La Gélise;La Gélise du barrage de Candau au confluent de la Baïse;
05007900;Le Trèfle au niveau de St Georges d'Antignac;STQ;Saint Georges Antignac;Le Trèfle;Le Trèfle de sa source au confluent de la Seugne;
05167002;Le Ruisseau du Py au niveau de Pecharic;STQ;Pécharic et le Py;Ruisseau du Py;Ruisseau du Py;
05207070;Le Gave de Bious au niveau de Laruns;STQ;Laruns;Gave de Bious;Le Gave de Bious de sa source au confluent du Gave de Brousset;
05221400;Le Luy de France à Montagut;STQ;Montagut;Le Luy;Le Luy de France de sa source au confluent du Luy de Béarn;
08771X0004/F;ARGENTON  - Lalubin;QZ;Argenton;;Sables, graviers, galets et calcaires de l'éocène nord AG;
05197900;Le Boudigou à la ferme d'Arman;STQ;Labenne;Ceinture de Canal;Le boudigau de sa source à l'océan;
05025650;La Livenne au niveau de Corignac;STQ;Corignac;La Livenne;La Livenne de sa source au confluent des Martinettes;
05047000;La Dordogne en aval de Bergerac (Pont de la D4);STQ;Saint Pierre d'Eyraud;La Dordogne;La Dordogne du confluent du Caudeau au confluent de la lidoire;
05161000;La Garonne en aval de Toulouse;STQ;Gagnac sur Garonne;La Garonne;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;
05236940;La Nivelle à Ascain;STQ;Ascain;La Nivelle;La Nivelle de sa source à l'océan;
05234005;L'Arros en amont de Plaisance;STQ;Beaumarchés;l'Arros;L'Arros du confluent du Lurus au confluent de l'Adour;
07857X0001/HY;CAVAGNAC - Source du Doux;QZ;Cavagnac;;Calcaires, dolomies et grés du lias BV de la Dordogne secteurs hydro p1-p2;
10316X0021/F;SOUES - Puits du syndicat (REALIMEN.);QZ;Soues;;Alluvions de l'Adour et de l'Echez, l'Arros, la Bidouze et la Nive;
R1145123;étang de Moulin Pinard;STQL;Bourdeix;La Doue;La Doue;
08101X0017/F;BRETENOUX - Monjatou;QZ;Bretenoux;;Alluvions de la Dordogne;
05000249;La Charriere à Genouille;STQ;Genouillé;La Charrière;La Charrière;
05024245;Le Braillou à Ambernac;STQ;Ambernac;Le Braillou;Le Braillou;
05077675;Le Ruisseau de Brion à Langon;STQ;Langon;Ruisseau de Brion;Ruisseau de Brion;
07585X0013/P1;RIBERAC - Les Coutures;QZ;Ribérac;;Alluvions de l' Isle et de la Dronne;
05024250;La Charente à Roumazières;STQ;Roumazières Loubert;La Charente;La Charente du confluent de l'Etang au confluent du Merdançon (inclus);
05223210;Le Luzou à Bégaar;STQ;Bégaar;Le Luzou;Le Luzou de sa source au confluent de la Midouze;
05024200;La Charente à Alloué;STQ;Alloue;La Charente;La Charente du confluent de l'Etang au confluent du Merdançon (inclus);
05120090;Le Rô oriental en amont de Ste-Cécile-du-Cayrou;STQ;Castelnau de Montmiral;Ruisseau du Rô Oriental;Ruisseau du Rô Oriental;
05083400;Le Manet au niveau de Virazeil;STQ;Virazeil;Le Manet;Le Manet;
P7035143;Barrage de Mialet;STQL;Mialet;;Retenue du Mialet;
05010950;Le Né à Ars;STQ;Ars;Le Né;Le Né du confluent de la Fontaine de Bagot au confluent de la Charente;
10585X0030/F;MIREPOIX - Longchamp-Paraulettes 1;QZ;Mirepoix;;Alluvions de l'Ariège et affluents;
05114500;Le Gers à Lectoure;STQ;Lectoure;Le Gers;Le Gers du confluent de l'Aulouste au confluent de la Garonne;
05153000;La Gimone à Lafitte;STQ;Cordes Tolosannes;La Gimone;La Gimone du confluent de la Marcaoue au confluent de la Garonne;
05061950;Le Cayla en amont de Sousceyrac;STQ;Sousceyrac en Quercy;Le Cayla;Le Cayla;
05237015;L'Amezpetuko Erreka à Saint Pée sur Nivelle (amont exutoire du lac);STQ;Saint Pée sur Nivelle;Amezpetuko Erreka;Amezpetuko Erreka;
05068485;Le Ruisseau des Farges à Ambrugeat;STQ;Ambrugeat;Ruisseau d'Ambrugeat;Ruisseau d'Ambrugeat;
05192024;La Grande Leyre à Pissos;STQ;Moustey;La Grande Leyre;La Leyre de sa source au confluent de la petite Leyre;
09518X0025/PZ;GRENADE-SUR-L'ADOUR - Courrèges (piézo);QZ;Grenade sur l'Adour;;Alluvions de l'Adour et de l'Echez, l'Arros, la Bidouze et la Nive;
05034855;La Dronne à Champagnac-de-Bélair;STQ;Champagnac de Belair;La Dronne;La Dronne du confluent du Manet au confluent de la Côle;
05140090;Le Viau au niveau de Nages;STQ;Nages;Le Viau;Le Viau de sa source au lac de Laouzas;
05053086;Ruisseau de Planchetorte à Brive-la-Gaillarde;STQ;Brive la Gaillarde;Ruisseau de Planchetorte;Ruisseau de Planchetorte;
10031X0005/P1;ST-CRICQ-DU-GAVE - Station de pompage (AEP F1);QZ;Saint Cricq du Gave;;Alluvions du gave de Pau;
05120032;Le ruisseau de la Vaysse en aval de Montricoux;STQ;Bruniquel;Ruisseau de la Vaysse;Ruisseau de la Vaysse;
05234011;L'Estéous au niveau de Lacassagne;STQ;Lacassagne;l'Estéous;L'Estéous;
05003000;La Boutonne à St-Jean d'Angély;STQ;Torxé;La Boutonne;La Boutonne du confluent de la Nie au confluent de la Charente;
05234010;L'Arros en aval de Montégut;STQ;Montégut Arros;l'Arros;L'Arros du confluent du laca (inclus) au confluent du Lurus;
05088440;Le Lot à Castelfranc;STQ;Anglars Juillac;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
05229160;Le Midour à Loussous-Débat;STQ;Loussous Débat;La Midouze;Le Midour du lieu-dit Montaut au confluent de la Douze;
05009850;Le Pontignac au niveau de Pommiers-Moulon;STQ;Pommiers Moulons;Le Pontignac;Le Pontignac;
05122948;Le ruisseau de Ségrassiés au niveau de Pampelonne;STQ;Pampelonne;Ruisseau de Ségrassiés;Ruisseau de Ségrassiés;
05159260;Le Courbet à Pibrac;STQ;Pibrac;Le Courbet;Le Courbet de sa source au confluent de l'Aussonnelle;
05144520;Le Tarn au niveau de Broquies;STQ;Broquiès;Le Tarn;Le Tarn du barrage de Pinet au confluent du Dourdou;
05176100;Le Montbrun en amont de Montbrun Bocage;STQ;Montbrun Bocage;Ruisseau de Montbrun;Ruisseau de Montbrun;
10344X0046/F;MIREMONT - Nouveau puits syndical ;QZ;Miremont;;Alluvions de l'Ariège et affluents;
05175200;La Nère au niveau de Francon;STQ;Francon;La Nère;La Nère du riou Pudé au confluent de la Louge;
08272X0058/F;GRADIGNAN - Forage Monjoux;QZ;Gradignan;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05172350;Le Ruisseau de Roques à Brassac;STQ;Brassac;Ruisseau de Roques;Ruisseau de Roques;
08287X0004/SOURCE;Source st genis du bois;QZ;Saint Genis du Bois;;;
05201050;La Bidouze à Biscay;STQ;Labets Biscay;La Bidouze;La Bidouze du confluent du Pagolla Uraitza au confluent de l'Adour;
05038090;Le Salembre en amont de St-Germain-du-Salembre;STQ;Chantérac;Le Salembre;Le Salembre;
05043000;La Loue à Saint Martial d'Albarède;STQ;Saint Martial d'Albarède;La Loue;La Loue du confluent de la Balance (incluse) au confluent de l'Isle;
05184200;Le Chenal du Guâ à Vendays Montalivet;STQ;Vendays Montalivet;Chenal du Gua;Chenal du Gua;
05237900;L'Ouhabia à Bidart;STQ;Bidart;Fleuve Uhabia;L'Uhabia de sa source à l'océan;
05117580;Le Lendou au niveau de Montlauzun;STQ;Montlauzun;Le Lendou;Le Lendou;
05092980;Le Ruisseau d'Audiernes au niveau de Peyrusse-le-Roc;STQ;Peyrusse le Roc;Ruisseau d'Audiernes;Ruisseau d'Audiernes;
05091085;Le Célé à Figeac (Amont Pont D662);STQ;Figeac;Le Célé;Le Célé du confluent du Veyre au confluent du Drauzou;
05111900;La garonne à Colayrac St Cirq;STQ;Colayrac Saint Cirq;La Garonne;La Garonne du confluent du Gers au confluent du Lot;
08273X0262/F1;LATRESNE - COULOMB;QZ;Latresne;;Sables, graviers, galets et calcaires de l'éocène nord AG;
05005350;La Belle à Montigné;STQ;Celles sur Belle;La Belle;La Belle;
05037000;L'Isle à St-Antoine;STQ;Saint Antoine sur l'Isle;l'Isle;L'Isle du confluent du Cussona (inclus) au confluent de la Dronne;
05068820;La Diège en amont d'Ussel;STQ;Chaveroche;La Diège;La Diège (Langlade) de sa source au confluent de la Sarsonne;
06586X0013/G;TONNAY-CHARENTE - La Coudre;QZ;Tonnay Charente;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien libre;
10553X0031/F;LESTELLE-DE-SAINT-MARTORY - Barrets;QZ;Lestelle de Saint Martory;;Alluvions de la Garonne amont, de la Neste et du Salat;
05222000;L'Adour en aval de Dax;STQ;Rivière Saas et Gourby;l'Adour;L'Adour du confluent de la Midouze au confluent du Luy;
08567X0028/HY;SAINT MEDARD CATUS - Font Vincent S58;QZ;Saint Médard;;Calcaires et marnes du jurassique sup du BV du Lot secteur hydro o8;
05125700;Le Viaur au niveau de Roucouze;STQ;Comps la Grand Ville;Le Viaur;Le Viaur du réservoir de Pont-de-Salars au confluent du Céor;
Q1115193;Barrage de Duhort-Bachen;STQL;Duhort Bachen;;Retenue de Duhort-Bachen;
05112170;La Masse d'Agen en amont du Pont-du-Casse;STQ;Bajamont;La Masse;La Masse;
05039155;La Beauronne;STQ;Saint Front d'Alemps;La Beauronne;La Beauronne de sa source au confluent de l'Isle;
05229120;L'Estang au niveau de Mauléon-d'Armagnac;STQ;Mauléon d'Armagnac;l'Estang;L'Estang;
10305X0232/F;BALIROS;QZ;Baliros;;Alluvions du gave de Pau;
05225085;Le Retjons à Rion-des-Landes;STQ;Rion des Landes;Le Retjons;Le Retjons de sa source au confluent de la Midouze;
05147150;Le Tarn en aval de Millau-Plage;STQ;Millau;Le Tarn;Le Tarn du confluent de la Jonte au confluent de la Dourbie;
05140050;La Tine à Le Margnes;STQ;Fontrieu;La Tine;;
05234028;L'Arrêt au niveau de Tournay;STQ;Tournay;l'Arrêt;L'Arrêt;
05021000;La Tardoire à Vouthon;STQ;Vouthon;La Tardoire;La Tardoire du confluent des Bonnettes au confluent du Bandiat;
07338X0501/P;GURAT - Trou du Gabard;QZ;Gurat;;Calcaires, grés et sables du turonien-coniacien-santonien libre BV Isle-Dronne;
S4285023;Etang de Moisan;STQL;Messanges;;;
O6215553;Réservoir de Castelnau Magnoac;STQL;Castelnau Magnoac;;Retenue de Castelnau Magnoac;
05176850;Le Volp à Le Plan;STQ;Plan;Le Volp;Le Volp de sa source au confluent de la Garonne;
05111610;La Lambronne au niveau de Lamontjoie;STQ;Lamontjoie;La Lambronne;La Lambronne;
06611X0087/S;BRETTES - Les Linottes;QZ;Brettes;;Sables, grés, calcaires et dolomies de l'infra-toarcien;
05023250;Le Cibiou au nivea ude Genouillé;STQ;Genouillé;Le Cibiou;Le Cibiou;
05125545;Le Ruisseau de Clauzelles au niveau de Salmiech;STQ;Salmiech;Ruisseau de Clauzelles;Ruisseau de Clauzelles;
05238500;La Bidassoa à Biriatou;STQ;Biriatou;La Bidassoa;Estuaire Bidassoa;
09767X0075/F4;ORIST - La Barthe Neuve (F1bis);QZ;Orist;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05137050;L'Arn en aval du barrage de St-Peyres;STQ;Vintrou;l'Arn;L'Arn du lac des Saint-Peyres au confluent du Thoré;
05066000;La Cère à Comblat le Pont;STQ;Vic sur Cère;La Cère;La Cère de sa source au confluent de la Jordanne;
05181200;Le Job au droit de Juzet d'Izaut;STQ;Cazaunous;Le Job;Le Job;
05192008;Le Castéra, à MANO;STQ;Mano;Ruisseau de Castera;Ruisseau de Castera;
05170760;Le Ruisseau de la Galage au niveau de Pamiers;STQ;Pamiers;Ruisseau de la Galage;Ruisseau de la Galage;
05047750;Le Couzeau au niveau de Lanquais;STQ;Lanquais;Le Couzeau;Le Couzeau;
05165774;Le ruisseau de Négretis à Montbrun-Lauragais (aval STEP);STQ;Montbrun Lauragais;Ruisseau de Négretis;Ruisseau de Négretis;
05024985;Le Chenal de Chalons à Gua;STQ;Gua;Chenal de Chalons;Chenal de Chalons;
07361X0002/HY;JUMILHAC-LE-GRAND - Coulon;QZ;Jumilhac le Grand;;Socle BV Isle-Dronne secteurs hydro p6-p7;
08814X0011/HY;CENEVIERES - Trou Madame S57;QZ;Cénevières;;Calcaires des Causses du Quercy BV Lot;
05038010;La Crempse à Bourgnac;STQ;Bourgnac;La Crempse;La Crempse de sa source au confluent de l'Isle;
05068300;La Dordogne à Argentat;STQ;Argentat;La Dordogne;La Dordogne du barrage d'Argentat au confluent de la Cère;
05091520;L'Anès en amont de St Etienne de Maurs;STQ;Saint Etienne de Maurs;l'Anès;L'Anès de sa source au confluent de la Rance;
05011490;Le Ruisseau des Fontaines Blanches à Lachaise;STQ;Lachaise;Ruisseau des Fontaines Blanches;Ruisseau des Fontaines Blanches;
05140065;La Vèbre au niveau de La Salvetat sur Agout;STQ;Salvetat sur Agout;La Vèbre;La Vèbre du lac de Laouzas au confluent de l'agout;
05007600;La Seugne au chateau Renaud;STQ;Pons;La Seugne;La Seugne du confluent du Pharaon au confluent de la Charente;
05033580;Le Ruisseau des Planches au niveau de Tocane St Apre;STQ;Tocane Saint Apre;Ruisseau des Planches;Ruisseau des Planches;
05180820;La Rivière Alet au niveau d'Ustou;STQ;Ustou;Rivière Alet;L'Alet de sa source au confluent du Salat;
05122952;Le Céret en aval de Tanus;STQ;Tanus;Le Céret;Le Céret de sa source à la retenue de la Roucarie;
08094X0014/F;CARENNAC - Salgues;QZ;Carennac;;Alluvions de la Dordogne;
05229123;L'Estang à Estang;STQ;Estang;l'Estang;L'Estang;
08094X0021/F;CARENNAC - Calypso2;QZ;Carennac;;Alluvions de la Dordogne;
05069250;La Tarentaine au niveau de Picherande;STQ;Picherande;La Tarentaine;La Tarentaine de sa source au confluent du Neuffonds;
O1475103;Plan d'eau de Montbel amont;STQL;Montbel;;Plan d'eau de Montbel amont;
05046685;Le ruisseau de Saussignac à Saussignac;STQ;Saussignac;;;
09782X0005/F2;HAGETMAU - Forage F2 Stade;QZ;Hagetmau;;Molasses du bassin de l'Adour et alluvions anciennes de Piémont;
10722X0015/HY;GENEREST - Plan de Pouts;QZ;Générest;;Terrains plissés du BV Garonne secteur hydro o0;
09266X0104/F;LE FRECHE - Tastet, chemin de St Justin;QZ;Frêche;;Calcaires du sommet du crétacé supérieur captif sud aquitain;
05227000;La Douze à St-Avit;STQ;Saint Avit;La Douze;La Douze du confluent de l'Estampon au confluent du Midour;
05184000;La Garonne au Pont du Roi;STQ;Fos;La Garonne;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;
05004300;La Boutonne au niveau de Saint Pierre de l'Ile;STQ;Saint Pierre de l'Isle;La Boutonne;La Boutonne du confluent de la Belle au confluent de la Nie;
07304X0516/SOURCE;MORTAGNE-SUR-GIRONDE - Fontdevine (source);QZ;Mortagne sur Gironde;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05132000;Le Dadou à Rieutord;STQ;Graulhet;Le Dadou;Le Dadou du confluent de l'Agros au confluent de l'Agout;
05055960;Le Pont Sauvé au niveau de Vignols;STQ;Vignols;Ruisseau du Pont Sauvé;Ruisseau du Pont Sauvé;
05120019;Le Ruisseau des Courounets au niveau d'Albias;STQ;Albias;Ruisseau de la Mouline;Ruisseau de la Mouline;
05083100;L'Avance à la piscine de Casteljaloux;STQ;Casteljaloux;l'Avance;L'Avance du confluent de la Bretagne au confluent de la Garonne;
05012200;Le Ri Bellot au niveau de Cherves Richemont;STQ;Cherves Richemont;Le Ri Bellot;Le Ri Bellot;
05201025;Ruisseau l'Arbéroue à Bardos;STQ;Bardos;Ruisseau Arbéroue;L'Arbéroue de l'Altzerreka au confluent du Lihoury;
05234900;L'Adour à Maubourget;STQ;Maubourguet;l'Adour;L'Adour du confluent de l'Ailhet (inclus) au confluent de l'Echez;
05111608;La Lambronne en aval de Lamontjoie;STQ;Saint Vincent de Lamontjoie;La Lambronne;La Lambronne;
05139140;La Durencuse à Bez;STQ;Bez;La Durencuse;La Durencuse;
05025630;La Marguerite à Boisredon;STQ;Boisredon;La Marguerite;;
O2675503;Lac de Vigueron;STQL;Vigueron;;;
09776X0030/F;POUILLON - Forage Stade;QZ;Pouillon;;Molasses du bassin de l'Adour et alluvions anciennes de Piémont;
05111950;Le Rieumort au niveau de Roquefort;STQ;Passage;Le Rieumort;Le Rieumort;
05080960;La Gupie;STQ;Sainte Bazeille;La Gupie;La Gupie de sa source au confluent de la Garonne;
05231150;Le Bahus à Miramont-Sensacq;STQ;Miramont Sensacq;Le Bahus;Le Bahus du barrage de Miramont-Sensacq au confluent de l'Adour;
05091225;Le Bervezou à Montet-et-Bouxal;STQ;Montet et Bouxal;Le Bervezou;Le Bervezou de sa source au confluent du Célé;
05078900;Le Vignague à Morizès;STQ;Morizès;La Vignague;La Vignague de sa source au confluent du Dropt;
05139130;La Durenque au Pont du Grel;STQ;Noailhac;La Durenque;La Durenque du confluent de la Durencuse au confluent de l'Agout;
09514X0015/F2;LAGLORIEUSE - Forage Caillabas -D3;QZ;Laglorieuse;;Sables fauves BV Adour région hydro q;
05085530;La Lède au niveau de Monflanquin;STQ;Monflanquin;La Lède;La Lède de la commune de Gavaudun au confluent de la Leyze;
05011750;L'Arce au niveau de Bessac;STQ;Bessac;l'Arce;L'Arce;
09352X0026/HY;COMPREGNAC - Source Les Douzes -S71;QZ;Comprégnac;;Calcaires des grands Causses BV Tarn;
05086150;Le Lot en amont de Villeneuve-sur-Lot;STQ;Villeneuve sur Lot;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
07555X0101/F;SAINT ANDRONY - LA GRANGE LAMOTHE;QZ;Saint Androny;;Alluvions recentes de la Gironde;
05029785;Le ruisseau du Galostre à Maransin;STQ;Maransin;Ruisseau du Galostre;Ruisseau du Galostre;
